goos: linux
goarch: amd64
pkg: github.com/ice-blockchain/subzero/database/query
cpu: AMD Ryzen 9 PRO 7940HS w/ Radeon 780M Graphics 
BenchmarkSelectByKind
    query_where_builder_bench_test.go:49: loading test data from ".testdata/testdb_3M.sqlite3"
    query_where_builder_bench_test.go:51: loaded 1000 event(s)
BenchmarkSelectByID-16                                	      20	    105143 ns/op	         1.000 avg-ms/op	         1.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15225 B/op	     307 allocs/op
BenchmarkSelectByID-16                                	      20	    106411 ns/op	         1.000 avg-ms/op	         1.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15149 B/op	     306 allocs/op
BenchmarkSelectByID-16                                	      20	    102456 ns/op	         1.000 avg-ms/op	         1.000 p50-ms/op	         1.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15060 B/op	     307 allocs/op
BenchmarkSelectByID-16                                	      20	    100516 ns/op	         1.000 avg-ms/op	         1.000 p50-ms/op	         1.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15199 B/op	     306 allocs/op
BenchmarkSelectByID-16                                	      20	    112355 ns/op	         1.000 avg-ms/op	         1.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15100 B/op	     307 allocs/op
BenchmarkSelectByID-16                                	      20	    116862 ns/op	         1.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15194 B/op	     307 allocs/op
BenchmarkSelectByID-16                                	      20	    199448 ns/op	         2.000 avg-ms/op	         3.000 p50-ms/op	         3.000 p95-ms/op	         1.000 stddev-ms/op	         1.000 stmt-cache-size	   15248 B/op	     309 allocs/op
BenchmarkSelectByID-16                                	      20	    171430 ns/op	         2.000 avg-ms/op	         3.000 p50-ms/op	         3.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15288 B/op	     310 allocs/op
BenchmarkSelectByID-16                                	      20	    109464 ns/op	         1.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15140 B/op	     307 allocs/op
BenchmarkSelectByID-16                                	      20	    111502 ns/op	         1.000 avg-ms/op	         1.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15212 B/op	     307 allocs/op
BenchmarkSelectByID-16                                	      20	    733093 ns/op	         3.000 avg-ms/op	         1.000 p50-ms/op	        14.00 p95-ms/op	         4.000 stddev-ms/op	         1.000 stmt-cache-size	   15090 B/op	     307 allocs/op
BenchmarkSelectByID-16                                	      20	    160578 ns/op	         2.000 avg-ms/op	         2.000 p50-ms/op	         3.000 p95-ms/op	         1.000 stddev-ms/op	         1.000 stmt-cache-size	   15081 B/op	     307 allocs/op
BenchmarkSelectByID-16                                	      20	    113810 ns/op	         1.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15203 B/op	     307 allocs/op
BenchmarkSelectByID-16                                	      20	    106797 ns/op	         1.000 avg-ms/op	         1.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15156 B/op	     307 allocs/op
BenchmarkSelectByAuthor
BenchmarkSelectByAuthor-16                            	      20	    168415 ns/op	         2.000 avg-ms/op	         2.000 p50-ms/op	         3.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15196 B/op	     308 allocs/op
BenchmarkSelectByAuthor-16                            	      20	    144338 ns/op	         1.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15171 B/op	     308 allocs/op
BenchmarkSelectByAuthor-16                            	      20	    116387 ns/op	         1.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15342 B/op	     308 allocs/op
BenchmarkSelectByAuthor-16                            	      20	    124058 ns/op	         1.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15021 B/op	     308 allocs/op
BenchmarkSelectByAuthor-16                            	      20	    115312 ns/op	         1.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15254 B/op	     308 allocs/op
BenchmarkSelectByAuthor-16                            	      20	    107652 ns/op	         1.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15327 B/op	     308 allocs/op
BenchmarkSelectByAuthor-16                            	      20	    114084 ns/op	         1.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15269 B/op	     307 allocs/op
BenchmarkSelectByAuthor-16                            	      20	    116609 ns/op	         1.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15144 B/op	     308 allocs/op
BenchmarkSelectByAuthor-16                            	      20	    114432 ns/op	         1.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15104 B/op	     308 allocs/op
BenchmarkSelectByAuthor-16                            	      20	    127645 ns/op	         1.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15160 B/op	     309 allocs/op
BenchmarkSelectByAuthor-16                            	      20	    132990 ns/op	         1.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   19348 B/op	     309 allocs/op
BenchmarkSelectByAuthor-16                            	      20	    122393 ns/op	         1.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15077 B/op	     308 allocs/op
BenchmarkSelectByAuthor-16                            	      20	    126474 ns/op	         1.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15132 B/op	     308 allocs/op
BenchmarkSelectByAuthor-16                            	      20	    220460 ns/op	         3.000 avg-ms/op	         4.000 p50-ms/op	         4.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15167 B/op	     308 allocs/op
BenchmarkSelectByAuthor-16                            	      20	    194261 ns/op	         3.000 avg-ms/op	         3.000 p50-ms/op	         3.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15588 B/op	     318 allocs/op
BenchmarkSelectByAuthor-16                            	      20	    142457 ns/op	         2.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15488 B/op	     315 allocs/op
BenchmarkSelectByAuthor-16                            	      20	    147798 ns/op	         2.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15553 B/op	     318 allocs/op
BenchmarkSelectByAuthor-16                            	      20	    132851 ns/op	         2.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15406 B/op	     315 allocs/op
BenchmarkSelectByAuthor-16                            	      20	    136778 ns/op	         2.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15577 B/op	     315 allocs/op
BenchmarkSelectByAuthor-16                            	      20	    145049 ns/op	         2.000 avg-ms/op	         2.000 p50-ms/op	         2.000 p95-ms/op	         0 stddev-ms/op	         1.000 stmt-cache-size	   15350 B/op	     314 allocs/op
BenchmarkSelectByCreatedAtRange
BenchmarkSelectByCreatedAtRange-16                    	      20	 629472189 ns/op	      1604 avg-ms/op	       506.0 p50-ms/op	      9267 p95-ms/op	      3176 stddev-ms/op	         1.000 stmt-cache-size	 9364027 B/op	  125181 allocs/op
BenchmarkSelectByCreatedAtRange-16                    	      20	  36561701 ns/op	       417.0 avg-ms/op	       407.0 p50-ms/op	       689.0 p95-ms/op	       123.0 stddev-ms/op	         1.000 stmt-cache-size	 9372598 B/op	  125212 allocs/op
BenchmarkSelectByCreatedAtRange-16                    	      20	  47743640 ns/op	       445.0 avg-ms/op	       442.0 p50-ms/op	       792.0 p95-ms/op	       162.0 stddev-ms/op	         1.000 stmt-cache-size	 9370299 B/op	  125210 allocs/op
BenchmarkSelectByCreatedAtRange-16                    	      20	  55288796 ns/op	       518.0 avg-ms/op	       495.0 p50-ms/op	       850.0 p95-ms/op	       204.0 stddev-ms/op	         1.000 stmt-cache-size	 9367534 B/op	  125204 allocs/op
BenchmarkSelectByCreatedAtRange-16                    	      20	  54490172 ns/op	       473.0 avg-ms/op	       398.0 p50-ms/op	       800.0 p95-ms/op	       199.0 stddev-ms/op	         1.000 stmt-cache-size	 9366135 B/op	  125212 allocs/op
BenchmarkSelectByCreatedAtRange-16                    	      20	 153063320 ns/op	       656.0 avg-ms/op	       490.0 p50-ms/op	      1894 p95-ms/op	       649.0 stddev-ms/op	         1.000 stmt-cache-size	 9363665 B/op	  125229 allocs/op
BenchmarkSelectByCreatedAtRange-16                    	      20	  62570577 ns/op	       531.0 avg-ms/op	       488.0 p50-ms/op	      1023 p95-ms/op	       251.0 stddev-ms/op	         1.000 stmt-cache-size	 9365938 B/op	  125207 allocs/op
BenchmarkSelectByCreatedAtRange-16                    	      20	 112743638 ns/op	       643.0 avg-ms/op	       471.0 p50-ms/op	      1408 p95-ms/op	       482.0 stddev-ms/op	         1.000 stmt-cache-size	 9368299 B/op	  125223 allocs/op
BenchmarkSelectByCreatedAtRange-16                    	      20	  42311682 ns/op	       384.0 avg-ms/op	       344.0 p50-ms/op	       531.0 p95-ms/op	       128.0 stddev-ms/op	         1.000 stmt-cache-size	 9368938 B/op	  125222 allocs/op
BenchmarkSelectByCreatedAtRange-16                    	      20	  80743002 ns/op	       520.0 avg-ms/op	       401.0 p50-ms/op	      1371 p95-ms/op	       348.0 stddev-ms/op	         1.000 stmt-cache-size	 9369388 B/op	  125208 allocs/op
BenchmarkSelectByCreatedAtRange-16                    	      20	1487840299 ns/op	      3032 avg-ms/op	       582.0 p50-ms/op	     16348 p95-ms/op	      7032 stddev-ms/op	         1.000 stmt-cache-size	 9317426 B/op	  124525 allocs/op
BenchmarkSelectByCreatedAtRange-16                    	      20	 117337528 ns/op	       648.0 avg-ms/op	       544.0 p50-ms/op	      1119 p95-ms/op	       426.0 stddev-ms/op	         1.000 stmt-cache-size	 9365140 B/op	  125208 allocs/op
BenchmarkSelectByCreatedAtRange-16                    	      20	  48988160 ns/op	       443.0 avg-ms/op	       397.0 p50-ms/op	       913.0 p95-ms/op	       182.0 stddev-ms/op	         1.000 stmt-cache-size	 9373345 B/op	  125203 allocs/op
BenchmarkSelectByCreatedAtRange-16                    	      20	  46561717 ns/op	       520.0 avg-ms/op	       487.0 p50-ms/op	       771.0 p95-ms/op	       170.0 stddev-ms/op	         1.000 stmt-cache-size	 9370722 B/op	  125219 allocs/op
BenchmarkSelectByCreatedAtRange-16                    	      20	 163512156 ns/op	       638.0 avg-ms/op	       404.0 p50-ms/op	      1321 p95-ms/op	       664.0 stddev-ms/op	         1.000 stmt-cache-size	 9371415 B/op	  125216 allocs/op
BenchmarkSelectByCreatedAtRange-16                    	      20	  34236259 ns/op	       382.0 avg-ms/op	       353.0 p50-ms/op	       609.0 p95-ms/op	       115.0 stddev-ms/op	         1.000 stmt-cache-size	 9369257 B/op	  125219 allocs/op
BenchmarkSelectByCreatedAtRange-16                    	      20	 118827232 ns/op	       564.0 avg-ms/op	       404.0 p50-ms/op	       896.0 p95-ms/op	       449.0 stddev-ms/op	         1.000 stmt-cache-size	 9373884 B/op	  125219 allocs/op
BenchmarkSelectByCreatedAtRange-16                    	      20	  41293239 ns/op	       439.0 avg-ms/op	       418.0 p50-ms/op	       784.0 p95-ms/op	       144.0 stddev-ms/op	         1.000 stmt-cache-size	 9370635 B/op	  125216 allocs/op
BenchmarkSelectByCreatedAtRange-16                    	      20	 318744900 ns/op	       797.0 avg-ms/op	       532.0 p50-ms/op	      1086 p95-ms/op	      1292 stddev-ms/op	         1.000 stmt-cache-size	 9370315 B/op	  125201 allocs/op
BenchmarkSelectByCreatedAtRange-16                    	      20	1159971852 ns/op	      1702 avg-ms/op	       472.0 p50-ms/op	      1086 p95-ms/op	      4936 stddev-ms/op	         1.000 stmt-cache-size	 9368474 B/op	  125207 allocs/op
BenchmarkSelectByKindAndCreatedAtRange
BenchmarkSelectByKindAndCreatedAtRange-16             	      20	  58979436 ns/op	       487.0 avg-ms/op	       381.0 p50-ms/op	      1024 p95-ms/op	       239.0 stddev-ms/op	         1.000 stmt-cache-size	 8905681 B/op	  118477 allocs/op
BenchmarkSelectByKindAndCreatedAtRange-16             	      20	  62807357 ns/op	       661.0 avg-ms/op	       586.0 p50-ms/op	      1238 p95-ms/op	       296.0 stddev-ms/op	         1.000 stmt-cache-size	 9021832 B/op	  121019 allocs/op
BenchmarkSelectByKindAndCreatedAtRange-16             	      20	  53780528 ns/op	       515.0 avg-ms/op	       414.0 p50-ms/op	      1054 p95-ms/op	       235.0 stddev-ms/op	         1.000 stmt-cache-size	 8965149 B/op	  119750 allocs/op
BenchmarkSelectByKindAndCreatedAtRange-16             	      20	  55935466 ns/op	       589.0 avg-ms/op	       564.0 p50-ms/op	       880.0 p95-ms/op	       201.0 stddev-ms/op	         1.000 stmt-cache-size	 8976337 B/op	  120281 allocs/op
BenchmarkSelectByKindAndCreatedAtRange-16             	      20	  50222384 ns/op	       462.0 avg-ms/op	       405.0 p50-ms/op	       952.0 p95-ms/op	       185.0 stddev-ms/op	         1.000 stmt-cache-size	 9117077 B/op	  121682 allocs/op
BenchmarkSelectByKindAndCreatedAtRange-16             	      20	  44625262 ns/op	       502.0 avg-ms/op	       422.0 p50-ms/op	       839.0 p95-ms/op	       197.0 stddev-ms/op	         1.000 stmt-cache-size	 9351434 B/op	  124609 allocs/op
BenchmarkSelectByKindAndCreatedAtRange-16             	      20	  49705202 ns/op	       498.0 avg-ms/op	       474.0 p50-ms/op	       690.0 p95-ms/op	       155.0 stddev-ms/op	         1.000 stmt-cache-size	 9202918 B/op	  122059 allocs/op
BenchmarkSelectByKindAndCreatedAtRange-16             	      20	  51169090 ns/op	       621.0 avg-ms/op	       572.0 p50-ms/op	      1022 p95-ms/op	       202.0 stddev-ms/op	         1.000 stmt-cache-size	 8898241 B/op	  118358 allocs/op
BenchmarkSelectByKindAndCreatedAtRange-16             	      20	  47084863 ns/op	       419.0 avg-ms/op	       380.0 p50-ms/op	       785.0 p95-ms/op	       179.0 stddev-ms/op	         1.000 stmt-cache-size	 9086872 B/op	  121570 allocs/op
BenchmarkSelectByKindAndCreatedAtRange-16             	      20	  46163181 ns/op	       467.0 avg-ms/op	       449.0 p50-ms/op	       858.0 p95-ms/op	       177.0 stddev-ms/op	         1.000 stmt-cache-size	 8984887 B/op	  120072 allocs/op
